Symbol,CompanyName,Industry,MarketCap
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,745613877
AEI,Alset EHome International,Real Estate - Development,8867562
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3590877024
AEL,American Equity Investment Life Holding Company,Insurance - Life,4376393424
AEM,Agnico Eagle Mines,Gold,25331948601
AEMD,Aethlon Medical,Medical Devices,5035678
AENT,Alliance Entertainment Holding,Entertainment,105417669
AEO,American Eagle Outfitters,Apparel Retail,3984341460
AEON,AEON Biopharma,Biotechnology,224443984
AEP,American Electric Power Company,Utilities - Regulated Electric,41880764640
AER,AerCap Holdings,Rental & Leasing Services,15160158000
AERT,Aeries Technology,Consulting Services,71500000
AES,The AES Corporation,Utilities - Diversified,12200640380
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,968078667
AEVA,Aeva Technologies,Auto Parts,128230840
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,4618654
AEYE,AudioEye,Software - Application,51122270
AEZS,Aeterna Zentaris,Biotechnology,11475143
AFAR,Aura FAT Projects Acquisition,Shell Companies,62731380
AFBI,Affinity Bancshares,Banks - Regional,95760767
AFCG,AFC Gamma,REIT - Specialty,251425133
AFG,American Financial Group,Insurance - Property & Casualty,9703144796
AFIB,Acutus Medical,Medical Devices,6089330
AFJK,Aimei Health Technology,Shell Companies,79908400
AFL,Aflac,Insurance - Life,48240569000
AFMD,Affimed,Biotechnology,62722380
AFRI,Forafric Global,Farm Products,638752192
AFRM,Affirm Holdings,Software - Infrastructure,12693949464
AFYA,Afya Limited,Education & Training Services,2001919692
AG,First Majestic Silver,Silver,1638433110
AGAE,Allied Gaming & Entertainment,Entertainment,35549521
AGBA,AGBA Acquisition,Shell Companies,29308396
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8690561194
AGE,AgeX Therapeutics,Biotechnology,12675734
AGEN,Agenus,Biotechnology,284786018
AGFY,Agrify,Engineering & Construction,2619914
AGI,Alamos Gold,Gold,5457959820
AGIO,Agios Pharmaceuticals,Biotechnology,1225556640
AGL,agilon health,Medical Care Facilities,4689773550
AGM,Federal Agricultural Mortgage,Credit Services,1832427386
AGM.A,Federal Agricultural Mortgage,Credit Services,1776641110
AGMH,AGM Group Holdings,Software - Application,44276131
AGNC,AGNC Investment,REIT - Mortgage,6046665060
AGO,Assured Guaranty,Insurance - Specialty,4053767280
AGR,Avangrid,Utilities - Regulated Electric,12403745970
